Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2328563	UKID116 (5822)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328563/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190740	SRX2190740	Joseph R Ecker	"Sep 27, 2016"
GSM2328564	DraII-6 (5874)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328564/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190741	SRX2190741	Joseph R Ecker	"Sep 27, 2016"
GSM2328565	Duk (6008)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328565/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190742	SRX2190742	Joseph R Ecker	"Sep 27, 2016"
GSM2328566	TFA 07 (6217)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328566/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190743	SRX2190743	Joseph R Ecker	"Sep 27, 2016"
GSM2328567	UduI 1-11 (6296)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328567/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190744	SRX2190744	Joseph R Ecker	"Sep 27, 2016"
GSM2328568	UduI 4-9 (6396)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328568/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190745	SRX2190745	Joseph R Ecker	"Sep 27, 2016"
GSM2328569	CIBC-5 (6908)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328569/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190746	SRX2190746	Joseph R Ecker	"Sep 27, 2016"
GSM2328570	Got-22 (6920)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328570/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190747	SRX2190747	Joseph R Ecker	"Sep 27, 2016"
GSM2328571	Knox-10 (6927)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328571/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190748	SRX2190748	Joseph R Ecker	"Sep 27, 2016"
GSM2328572	LL-0 (6933)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328572/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190749	SRX2190749	Joseph R Ecker	"Sep 27, 2016"
GSM2328573	Mt-0 (6939)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328573/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190750	SRX2190750	Joseph R Ecker	"Sep 27, 2016"
GSM2328574	Pu2-8 (6957)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328574/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190751	SRX2190751	Joseph R Ecker	"Sep 27, 2016"
GSM2328575	Ren-11 (6960)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328575/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190752	SRX2190752	Joseph R Ecker	"Sep 27, 2016"
GSM2328576	Sq-1 (6966)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328576/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190753	SRX2190753	Joseph R Ecker	"Sep 27, 2016"
GSM2328577	Tamm-27 (6969)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328577/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190754	SRX2190754	Joseph R Ecker	"Sep 27, 2016"
GSM2328578	Ull2-3 (6973)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328578/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190755	SRX2190755	Joseph R Ecker	"Sep 27, 2016"
GSM2328579	Uod-7 (6976)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328579/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190756	SRX2190756	Joseph R Ecker	"Sep 27, 2016"
GSM2328580	Buckhorn Pass (7033)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328580/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190757	SRX2190757	Joseph R Ecker	"Sep 27, 2016"
GSM2328581	Can-0 (7063)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328581/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190758	SRX2190758	Joseph R Ecker	"Sep 27, 2016"
GSM2328582	Co (7081)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328582/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190759	SRX2190759	Joseph R Ecker	"Sep 27, 2016"
GSM2328583	Edi-0 (7111)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328583/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190760	SRX2190760	Joseph R Ecker	"Sep 27, 2016"
GSM2328584	Ler-0 (7213)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328584/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190761	SRX2190761	Joseph R Ecker	"Sep 27, 2016"
GSM2328585	Li-7 (7231)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328585/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190762	SRX2190762	Joseph R Ecker	"Sep 27, 2016"
GSM2328586	Petergof (7296)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328586/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190763	SRX2190763	Joseph R Ecker	"Sep 27, 2016"
GSM2328587	Tscha-1 (7372)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328587/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190764	SRX2190764	Joseph R Ecker	"Sep 27, 2016"
GSM2328588	Zu-0 (7417)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328588/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190765	SRX2190765	Joseph R Ecker	"Sep 27, 2016"
GSM2328589	Nc-1 (7430)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328589/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190766	SRX2190766	Joseph R Ecker	"Sep 27, 2016"
GSM2328590	Rmx-A180 (7525)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328590/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190767	SRX2190767	Joseph R Ecker	"Sep 27, 2016"
GSM2328591	KNO1.37 (7717)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328591/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190768	SRX2190768	Joseph R Ecker	"Sep 27, 2016"
GSM2328592	Gul1-2 (8234)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328592/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190769	SRX2190769	Joseph R Ecker	"Sep 27, 2016"
GSM2328593	Hod (8235)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328593/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190770	SRX2190770	Joseph R Ecker	"Sep 27, 2016"
GSM2328594	Kent (8238)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328594/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190771	SRX2190771	Joseph R Ecker	"Sep 27, 2016"
GSM2328595	PHW-2 (8243)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328595/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190772	SRX2190772	Joseph R Ecker	"Sep 27, 2016"
GSM2328596	DraII-1 (8284)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328596/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190773	SRX2190773	Joseph R Ecker	"Sep 27, 2016"
GSM2328597	Ge-0 (8297)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328597/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190774	SRX2190774	Joseph R Ecker	"Sep 27, 2016"
GSM2328598	Lu-1 (8334)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328598/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190775	SRX2190775	Joseph R Ecker	"Sep 27, 2016"
GSM2328599	Ost-0 (8351)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328599/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190776	SRX2190776	Joseph R Ecker	"Sep 27, 2016"
GSM2328600	Xan-3 (9067)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328600/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190777	SRX2190777	Joseph R Ecker	"Sep 27, 2016"
GSM2328601	Lerik1-7 (9078)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328601/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190778	SRX2190778	Joseph R Ecker	"Sep 27, 2016"
GSM2328602	Lerik2-1 (9079)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328602/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190779	SRX2190779	Joseph R Ecker	"Sep 27, 2016"
GSM2328603	Lerik2-7 (9085)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328603/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190780	SRX2190780	Joseph R Ecker	"Sep 27, 2016"
GSM2328604	Lag1-2 (9100)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328604/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190781	SRX2190781	Joseph R Ecker	"Sep 27, 2016"
GSM2328605	Lag1-4 (9102)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328605/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190782	SRX2190782	Joseph R Ecker	"Sep 27, 2016"
GSM2328606	Bak-5 (9121)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328606/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190783	SRX2190783	Joseph R Ecker	"Sep 27, 2016"
GSM2328607	Yeg-2 (9128)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328607/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190784	SRX2190784	Joseph R Ecker	"Sep 27, 2016"
GSM2328608	Yeg-4 (9130)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328608/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190785	SRX2190785	Joseph R Ecker	"Sep 27, 2016"
GSM2328609	Yeg-7 (9133)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328609/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190786	SRX2190786	Joseph R Ecker	"Sep 27, 2016"
GSM2328610	Bijisk-4 (9622)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328610/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190787	SRX2190787	Joseph R Ecker	"Sep 27, 2016"
GSM2328611	Chaba-2 (9624)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328611/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190788	SRX2190788	Joseph R Ecker	"Sep 27, 2016"
GSM2328612	K-oze-3 (9630)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328612/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190789	SRX2190789	Joseph R Ecker	"Sep 27, 2016"
GSM2328613	Rakit-3 (9642)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328613/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190790	SRX2190790	Joseph R Ecker	"Sep 27, 2016"
GSM2328614	Teano-1 (9663)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328614/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190791	SRX2190791	Joseph R Ecker	"Sep 27, 2016"
GSM2328615	Mitterberg-1-180 (9665)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328615/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190792	SRX2190792	Joseph R Ecker	"Sep 27, 2016"
GSM2328616	Castelfed-3-205 (9689)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328616/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190793	SRX2190793	Joseph R Ecker	"Sep 27, 2016"
