study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA187927	SAMN04581463	SRS1364005	SRX1664464	SRR3299789	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299789/SRR3299789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299789/SRR3299789_2.fastq.gz
PRJNA187927	SAMN04581463	SRS1364005	SRX1664464	SRR3299790	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299790/SRR3299790.fastq.gz
PRJNA187927	SAMN04581464	SRS1364004	SRX1664465	SRR3299791	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299791/SRR3299791.fastq.gz
PRJNA187927	SAMN04581464	SRS1364004	SRX1664465	SRR3299792	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299792/SRR3299792.fastq.gz
PRJNA187927	SAMN04581465	SRS1364003	SRX1664466	SRR3299793	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299793/SRR3299793.fastq.gz
PRJNA187927	SAMN04581465	SRS1364003	SRX1664466	SRR3299794	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299794/SRR3299794.fastq.gz
PRJNA187927	SAMN04581466	SRS1364002	SRX1664467	SRR3299795	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299795/SRR3299795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299795/SRR3299795_2.fastq.gz
PRJNA187927	SAMN04581466	SRS1364002	SRX1664467	SRR3299796	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299796/SRR3299796.fastq.gz
PRJNA187927	SAMN04581466	SRS1364002	SRX1664467	SRR3299797	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299797/SRR3299797.fastq.gz
PRJNA187927	SAMN04581467	SRS1364001	SRX1664468	SRR3299798	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299798/SRR3299798.fastq.gz
PRJNA187927	SAMN04581467	SRS1364001	SRX1664468	SRR3299799	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299799/SRR3299799.fastq.gz
PRJNA187927	SAMN04581467	SRS1364001	SRX1664468	SRR3299800	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299800/SRR3299800.fastq.gz
PRJNA187927	SAMN04581467	SRS1364001	SRX1664468	SRR3299801	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299801/SRR3299801.fastq.gz
PRJNA187927	SAMN04581468	SRS1363999	SRX1664469	SRR3299802	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299802/SRR3299802.fastq.gz
PRJNA187927	SAMN04581468	SRS1363999	SRX1664469	SRR3299803	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299803/SRR3299803.fastq.gz
PRJNA187927	SAMN04581468	SRS1363999	SRX1664469	SRR3299804	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299804/SRR3299804.fastq.gz
PRJNA187927	SAMN04581469	SRS1364000	SRX1664470	SRR3299805	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299805/SRR3299805.fastq.gz
PRJNA187927	SAMN04581469	SRS1364000	SRX1664470	SRR3299806	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299806/SRR3299806.fastq.gz
PRJNA187927	SAMN04581469	SRS1364000	SRX1664470	SRR3299807	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299807/SRR3299807.fastq.gz
PRJNA187927	SAMN04581470	SRS1363998	SRX1664471	SRR3299808	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299808/SRR3299808.fastq.gz
PRJNA187927	SAMN04581470	SRS1363998	SRX1664471	SRR3299809	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299809/SRR3299809.fastq.gz
PRJNA187927	SAMN04581470	SRS1363998	SRX1664471	SRR3299810	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299810/SRR3299810.fastq.gz
PRJNA187927	SAMN04581471	SRS1363997	SRX1664472	SRR3299811	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299811/SRR3299811.fastq.gz
PRJNA187927	SAMN04581471	SRS1363997	SRX1664472	SRR3299812	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299812/SRR3299812.fastq.gz
PRJNA187927	SAMN04581471	SRS1363997	SRX1664472	SRR3299813	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299813/SRR3299813.fastq.gz
PRJNA187927	SAMN04581472	SRS1363996	SRX1664473	SRR3299814	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299814/SRR3299814.fastq.gz
PRJNA187927	SAMN04581472	SRS1363996	SRX1664473	SRR3299815	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299815/SRR3299815.fastq.gz
PRJNA187927	SAMN04581472	SRS1363996	SRX1664473	SRR3299816	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299816/SRR3299816.fastq.gz
PRJNA187927	SAMN04581473	SRS1363995	SRX1664474	SRR3299817	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299817/SRR3299817.fastq.gz
PRJNA187927	SAMN04581473	SRS1363995	SRX1664474	SRR3299818	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299818/SRR3299818.fastq.gz
PRJNA187927	SAMN04581473	SRS1363995	SRX1664474	SRR3299819	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299819/SRR3299819.fastq.gz
PRJNA187927	SAMN04581474	SRS1363994	SRX1664475	SRR3299820	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299820/SRR3299820.fastq.gz
PRJNA187927	SAMN04581474	SRS1363994	SRX1664475	SRR3299821	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299821/SRR3299821.fastq.gz
PRJNA187927	SAMN04581474	SRS1363994	SRX1664475	SRR3299822	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299822/SRR3299822.fastq.gz
PRJNA187927	SAMN04581475	SRS1363993	SRX1664476	SRR3299823	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299823/SRR3299823.fastq.gz
PRJNA187927	SAMN04581475	SRS1363993	SRX1664476	SRR3299824	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299824/SRR3299824.fastq.gz
PRJNA187927	SAMN04581475	SRS1363993	SRX1664476	SRR3299825	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299825/SRR3299825.fastq.gz
PRJNA187927	SAMN04581476	SRS1363991	SRX1664477	SRR3299826	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299826/SRR3299826.fastq.gz
PRJNA187927	SAMN04581476	SRS1363991	SRX1664477	SRR3299827	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299827/SRR3299827.fastq.gz
PRJNA187927	SAMN04581476	SRS1363991	SRX1664477	SRR3299828	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299828/SRR3299828.fastq.gz
PRJNA187927	SAMN04581477	SRS1363990	SRX1664478	SRR3299829	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299829/SRR3299829.fastq.gz
PRJNA187927	SAMN04581477	SRS1363990	SRX1664478	SRR3299830	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299830/SRR3299830.fastq.gz
PRJNA187927	SAMN04581477	SRS1363990	SRX1664478	SRR3299831	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299831/SRR3299831.fastq.gz
PRJNA187927	SAMN04581478	SRS1363992	SRX1664479	SRR3299832	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299832/SRR3299832.fastq.gz
PRJNA187927	SAMN04581478	SRS1363992	SRX1664479	SRR3299833	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299833/SRR3299833.fastq.gz
PRJNA187927	SAMN04581478	SRS1363992	SRX1664479	SRR3299834	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299834/SRR3299834.fastq.gz
PRJNA187927	SAMN04581479	SRS1363989	SRX1664480	SRR3299835	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299835/SRR3299835.fastq.gz
PRJNA187927	SAMN04581479	SRS1363989	SRX1664480	SRR3299836	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299836/SRR3299836.fastq.gz
PRJNA187927	SAMN04581480	SRS1363988	SRX1664481	SRR3299837	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299837/SRR3299837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299837/SRR3299837_2.fastq.gz
PRJNA187927	SAMN04581480	SRS1363988	SRX1664481	SRR3299838	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299838/SRR3299838.fastq.gz
PRJNA187927	SAMN04581481	SRS1363986	SRX1664482	SRR3299839	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299839/SRR3299839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299839/SRR3299839_2.fastq.gz
PRJNA187927	SAMN04581481	SRS1363986	SRX1664482	SRR3299840	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299840/SRR3299840.fastq.gz
PRJNA187927	SAMN04581481	SRS1363986	SRX1664482	SRR3299841	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299841/SRR3299841.fastq.gz
PRJNA187927	SAMN04581482	SRS1363987	SRX1664483	SRR3299842	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299842/SRR3299842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299842/SRR3299842_2.fastq.gz
PRJNA187927	SAMN04581482	SRS1363987	SRX1664483	SRR3299843	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299843/SRR3299843.fastq.gz
PRJNA187927	SAMN04581482	SRS1363987	SRX1664483	SRR3299844	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299844/SRR3299844.fastq.gz
PRJNA187927	SAMN04581482	SRS1363987	SRX1664483	SRR3299845	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299845/SRR3299845.fastq.gz
PRJNA187927	SAMN04581483	SRS1363985	SRX1664484	SRR3299846	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299846/SRR3299846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299846/SRR3299846_2.fastq.gz
PRJNA187927	SAMN04581483	SRS1363985	SRX1664484	SRR3299847	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299847/SRR3299847.fastq.gz
PRJNA187927	SAMN04581483	SRS1363985	SRX1664484	SRR3299848	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299848/SRR3299848.fastq.gz
PRJNA187927	SAMN04581484	SRS1363984	SRX1664485	SRR3299849	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299849/SRR3299849.fastq.gz
PRJNA187927	SAMN04581484	SRS1363984	SRX1664485	SRR3299850	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299850/SRR3299850.fastq.gz
PRJNA187927	SAMN04581485	SRS1363983	SRX1664486	SRR3299851	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299851/SRR3299851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299851/SRR3299851_2.fastq.gz
PRJNA187927	SAMN04581485	SRS1363983	SRX1664486	SRR3299852	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299852/SRR3299852.fastq.gz
PRJNA187927	SAMN04581485	SRS1363983	SRX1664486	SRR3299853	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299853/SRR3299853.fastq.gz
PRJNA187927	SAMN04581485	SRS1363983	SRX1664486	SRR3299854	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299854/SRR3299854.fastq.gz
PRJNA187927	SAMN04581486	SRS1363981	SRX1664487	SRR3299855	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299855/SRR3299855.fastq.gz
PRJNA187927	SAMN04581486	SRS1363981	SRX1664487	SRR3299856	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299856/SRR3299856.fastq.gz
PRJNA187927	SAMN04581487	SRS1363982	SRX1664488	SRR3299857	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299857/SRR3299857.fastq.gz
PRJNA187927	SAMN04581487	SRS1363982	SRX1664488	SRR3299858	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299858/SRR3299858.fastq.gz
PRJNA187927	SAMN04581487	SRS1363982	SRX1664488	SRR3299859	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299859/SRR3299859.fastq.gz
PRJNA187927	SAMN04581913	SRS1363980	SRX1664489	SRR3299860	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299860/SRR3299860.fastq.gz
PRJNA187927	SAMN04581913	SRS1363980	SRX1664489	SRR3299861	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299861/SRR3299861.fastq.gz
PRJNA187927	SAMN04581913	SRS1363980	SRX1664489	SRR3299862	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299862/SRR3299862.fastq.gz
PRJNA187927	SAMN04581914	SRS1363979	SRX1664490	SRR3299863	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299863/SRR3299863.fastq.gz
PRJNA187927	SAMN04581914	SRS1363979	SRX1664490	SRR3299864	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299864/SRR3299864.fastq.gz
PRJNA187927	SAMN04581915	SRS1363978	SRX1664491	SRR3299865	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299865/SRR3299865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299865/SRR3299865_2.fastq.gz
PRJNA187927	SAMN04581915	SRS1363978	SRX1664491	SRR3299866	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299866/SRR3299866.fastq.gz
PRJNA187927	SAMN04581916	SRS1363977	SRX1664492	SRR3299867	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299867/SRR3299867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299867/SRR3299867_2.fastq.gz
PRJNA187927	SAMN04581916	SRS1363977	SRX1664492	SRR3299868	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299868/SRR3299868.fastq.gz
PRJNA187927	SAMN04581916	SRS1363977	SRX1664492	SRR3299869	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299869/SRR3299869.fastq.gz
PRJNA187927	SAMN04581917	SRS1363976	SRX1664493	SRR3299870	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299870/SRR3299870.fastq.gz
PRJNA187927	SAMN04581917	SRS1363976	SRX1664493	SRR3299871	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299871/SRR3299871.fastq.gz
PRJNA187927	SAMN04581918	SRS1363974	SRX1664494	SRR3299872	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299872/SRR3299872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299872/SRR3299872_2.fastq.gz
PRJNA187927	SAMN04581918	SRS1363974	SRX1664494	SRR3299873	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299873/SRR3299873.fastq.gz
