Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1312005	1552_16C_rep	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312005/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445890	SRX445890	Manu Dubin	"Mar 28, 2015"
GSM1312006	1585_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312006/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445891	SRX445891	Manu Dubin	"Mar 28, 2015"
GSM1312007	5829_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312007/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445892	SRX445892	Manu Dubin	"Mar 28, 2015"
GSM1312008	5829_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312008/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445893	SRX445893	Manu Dubin	"Mar 28, 2015"
GSM1312009	5832_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312009/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445894	SRX445894	Manu Dubin	"Mar 28, 2015"
GSM1312010	5832_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312010/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445895	SRX445895	Manu Dubin	"Mar 28, 2015"
GSM1312011	5835_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312011/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445896	SRX445896	Manu Dubin	"Mar 28, 2015"
GSM1312012	5856_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312012/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445897	SRX445897	Manu Dubin	"Mar 28, 2015"
GSM1312013	5856_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312013/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445898	SRX445898	Manu Dubin	"Mar 28, 2015"
GSM1312014	5865_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312014/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445899	SRX445899	Manu Dubin	"Mar 28, 2015"
GSM1312015	5867_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312015/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445900	SRX445900	Manu Dubin	"Mar 28, 2015"
GSM1312016	5867_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312016/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445901	SRX445901	Manu Dubin	"Mar 28, 2015"
GSM1312017	6011_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312017/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445902	SRX445902	Manu Dubin	"Mar 28, 2015"
GSM1312018	6012_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312018/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445903	SRX445903	Manu Dubin	"Mar 28, 2015"
GSM1312019	6012_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312019/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445904	SRX445904	Manu Dubin	"Mar 28, 2015"
GSM1312020	6013_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312020/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445905	SRX445905	Manu Dubin	"Mar 28, 2015"
GSM1312021	6016_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312021/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445906	SRX445906	Manu Dubin	"Mar 28, 2015"
GSM1312022	6021_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312022/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445907	SRX445907	Manu Dubin	"Mar 28, 2015"
GSM1312023	6023_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312023/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445908	SRX445908	Manu Dubin	"Mar 28, 2015"
GSM1312024	6030_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312024/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445909	SRX445909	Manu Dubin	"Mar 28, 2015"
GSM1312025	6030_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312025/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445910	SRX445910	Manu Dubin	"Mar 28, 2015"
GSM1312026	6034_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312026/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445911	SRX445911	Manu Dubin	"Mar 28, 2015"
GSM1312027	6034_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312027/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445912	SRX445912	Manu Dubin	"Mar 28, 2015"
GSM1312028	6036_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312028/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445913	SRX445913	Manu Dubin	"Mar 28, 2015"
GSM1312029	6036_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312029/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445874	SRX445874	Manu Dubin	"Mar 28, 2015"
GSM1312030	6039_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312030/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445914	SRX445914	Manu Dubin	"Mar 28, 2015"
GSM1312031	6040_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312031/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445915	SRX445915	Manu Dubin	"Mar 28, 2015"
GSM1312032	6040_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312032/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445916	SRX445916	Manu Dubin	"Mar 28, 2015"
GSM1312033	6042_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312033/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445917	SRX445917	Manu Dubin	"Mar 28, 2015"
GSM1312034	6042_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312034/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445918	SRX445918	Manu Dubin	"Mar 28, 2015"
GSM1312035	6043_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312035/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445919	SRX445919	Manu Dubin	"Mar 28, 2015"
GSM1312036	6043_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312036/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445920	SRX445920	Manu Dubin	"Mar 28, 2015"
GSM1312037	6043_16C_rep	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312037/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445921	SRX445921	Manu Dubin	"Mar 28, 2015"
GSM1312038	6046_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312038/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445922	SRX445922	Manu Dubin	"Mar 28, 2015"
GSM1312039	6046_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312039/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445923	SRX445923	Manu Dubin	"Mar 28, 2015"
GSM1312040	6069_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312040/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445924	SRX445924	Manu Dubin	"Mar 28, 2015"
GSM1312041	6070_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312041/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445925	SRX445925	Manu Dubin	"Mar 28, 2015"
GSM1312042	6070_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312042/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445926	SRX445926	Manu Dubin	"Mar 28, 2015"
GSM1312043	6071_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312043/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445927	SRX445927	Manu Dubin	"Mar 28, 2015"
GSM1312044	6071_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312044/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445928	SRX445928	Manu Dubin	"Mar 28, 2015"
GSM1312045	6074_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312045/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445929	SRX445929	Manu Dubin	"Mar 28, 2015"
GSM1312046	6074_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312046/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445930	SRX445930	Manu Dubin	"Mar 28, 2015"
GSM1312047	6076_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312047/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445931	SRX445931	Manu Dubin	"Mar 28, 2015"
GSM1312048	6076_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312048/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445932	SRX445932	Manu Dubin	"Mar 28, 2015"
GSM1312049	6085_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312049/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445933	SRX445933	Manu Dubin	"Mar 28, 2015"
GSM1312050	6085_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312050/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445934	SRX445934	Manu Dubin	"Mar 28, 2015"
GSM1312051	6088_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312051/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445935	SRX445935	Manu Dubin	"Mar 28, 2015"
GSM1312052	6088_16C_rep	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312052/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445936	SRX445936	Manu Dubin	"Mar 28, 2015"
GSM1312053	6090_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312053/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445937	SRX445937	Manu Dubin	"Mar 28, 2015"
GSM1312054	6090_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312054/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445938	SRX445938	Manu Dubin	"Mar 28, 2015"
GSM1312055	6092_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312055/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445939	SRX445939	Manu Dubin	"Mar 28, 2015"
GSM1312056	6092_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312056/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445940	SRX445940	Manu Dubin	"Mar 28, 2015"
GSM1312057	6094_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312057/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445941	SRX445941	Manu Dubin	"Mar 28, 2015"
GSM1312058	6098_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312058/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445942	SRX445942	Manu Dubin	"Mar 28, 2015"
GSM1312059	6098_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312059/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445943	SRX445943	Manu Dubin	"Mar 28, 2015"
GSM1312060	6100_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312060/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445944	SRX445944	Manu Dubin	"Mar 28, 2015"
GSM1312061	6100_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312061/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445945	SRX445945	Manu Dubin	"Mar 28, 2015"
GSM1312062	6102_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312062/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445946	SRX445946	Manu Dubin	"Mar 28, 2015"
GSM1312063	6102_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312063/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445947	SRX445947	Manu Dubin	"Mar 28, 2015"
GSM1312064	6104_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312064/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445948	SRX445948	Manu Dubin	"Mar 28, 2015"
GSM1312065	6104_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312065/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445949	SRX445949	Manu Dubin	"Mar 28, 2015"
GSM1312066	6105_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312066/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445950	SRX445950	Manu Dubin	"Mar 28, 2015"
GSM1312067	6105_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312067/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445951	SRX445951	Manu Dubin	"Mar 28, 2015"
GSM1312068	6109_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312068/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445952	SRX445952	Manu Dubin	"Mar 28, 2015"
GSM1312069	6109_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312069/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445953	SRX445953	Manu Dubin	"Mar 28, 2015"
GSM1312070	6112_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312070/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445954	SRX445954	Manu Dubin	"Mar 28, 2015"
GSM1312071	6112_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312071/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445955	SRX445955	Manu Dubin	"Mar 28, 2015"
GSM1312072	6113_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312072/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445956	SRX445956	Manu Dubin	"Mar 28, 2015"
